YEBE            40.5249        -3.0886        973.000 
HERS            50.8673         0.3362         76.500 
OPMT            48.8359         2.3349        124.200 
WSRT            52.9146         6.6045         86.000 
WAB2            46.9238         7.4643        611.210 
IENG            45.0151         7.6394        316.600 
PTBB            52.2962        10.4597        130.200 
METS            60.2175        24.3953         94.600 
ONSA            57.3953        11.9255         45.500
