# datas from IGS:http://www.igs.org/network,2019-08-01
# Site                       Lat           Long
HLFX00CAN           44.683550     -63.611278 
HNLC00USA           21.303300    -157.864500 
HNPT00USA           38.588817     -76.130372 
HNUS00ZAF          -34.424631      19.223061 
HOB200AUS          -42.804719     147.438733 
HOFN00ISL           64.267292     -15.197925 
HOLB00CAN           50.640400    -128.135000 
HOLM00CAN           70.736400    -117.760900 
HOLP00USA           33.924539    -118.168169 
HRAG00ZAF          -25.890402      27.685180 
HRAO00ZAF          -25.890106      27.686981 
HUEG00DEU           47.833944       7.596167 
HYDE00IND           17.417256      78.550867 
IENG00ITA           45.015133       7.639406 
IISC00IND           13.021166      77.570376 
INEG00MEX           21.856153    -102.284203 
INVK00CAN           68.306200    -133.527000 
IQAL00CAN           63.755964     -68.510497 
IQQE00CHL          -20.273542     -70.131717 
IRKJ00RUS           52.219019     104.316178 
IRKM00RUS           52.219024     104.316240 
IRKT00RUS           52.219000     104.316200 
ISBA00IRQ           33.341414      44.438403 
ISHI00JPN           36.208833     140.218956 
ISPA00CHL          -27.124983    -109.344410 
ISTA00TUR           41.104447      29.019339 
IZMI00TUR           38.394808      27.081822 
JCTW00ZAF          -33.951433      18.468550 
JFNG00CHN           30.515565     114.491019 
JNAV00VNM           21.004585     105.843947 
JOG200IDN           -7.763814     110.372464 
JOZ200POL           52.097831      21.032342 
JOZE00POL           52.097272      21.031533 
JPLM00USA           34.204819    -118.173225 
JPRE00ZAF          -25.732025      28.282633 
KARR00AUS          -20.981436     117.097186 
KAT100AUS          -14.376008     132.153269 
KERG00ATF          -49.351467      70.255524 
KGNI00JPN           35.710342     139.488122 
KHAR00UKR           50.005103      36.239008 
KIR000SWE           67.877572      21.060233 
KIR800SWE           67.877542      21.060178 
KIRI00KIR            1.354581     172.922897 
KIRU00SWE           67.857300      20.968400 
KIT300UZB           39.134767      66.885450 
KITG00UZB           39.133386      66.886738 
KMNM00TWN           24.463822     118.388578 
KOKB00USA           22.126264    -159.664930 
KOKV00USA           22.126264    -159.664930 
KOS100NLD           52.173356       5.818225 
KOST00KAZ           53.224558      63.608103 
KOUC00NCL          -20.558697     164.287333 
KOUG00GUF            5.098471     -52.639750 
KOUR00GUF            5.252200     -52.806000 
KRGG00ATF          -49.351543      70.255506 
KRS100TUR           40.588453      43.093444 
KSMV00JPN           35.955372     140.657675 
KZN200RUS           55.790783      49.119244 
LAE100PNG           -6.673700     146.993200 
LAMA00POL           53.892400      20.669933 
LAUT00FJI          -17.608806     177.446583 
LBCH00USA           33.787769    -118.203344 
LCK300IND           26.912179      80.955636 
LCK400IND           26.912143      80.955617 
LEIJ00DEU           51.353981      12.374097 
LHAZ00CHN           29.657331      91.104022 
LLAG00ESP           28.481666     -16.320718 
LMMF00MTQ           14.594817     -60.996169 
LPAL00ESP           28.763889     -17.893889 
LPGS00ARG          -34.906744     -57.932300 
LROC00FRA           46.158939      -1.219319 
M0SE00ITA           41.893114      12.493258 
MAC100AUS          -54.499500     158.935800 
MAD200ESP           40.429161      -4.249658 
MADR00ESP           40.429161      -4.249658 
MAG000RUS           59.575800     150.770000 
MAJU00MHL            7.119137     171.364525 
MAL200KEN           -2.996000      40.194000 
MANA00NIC           12.148939     -86.248994 
MAR600SWE           60.595142      17.258522 
MAR700SWE           60.595053      17.258439 
MARS00FRA           43.278769       5.353783 
MAS100ESP           27.763700     -15.633300 
MAT100ITA           40.649061      16.704544 
MATE00ITA           40.649131      16.704458 
MATG00ITA           40.649028      16.704653 
MAUI00USA           20.706700    -156.257000 
MAW100ATA          -67.604800      62.870700 
MAYG00MYT          -12.782053      45.258152 
MBAR00UGA           -0.601469      30.737876 
MCHL00AUS          -26.358906     148.144961 
MCIL00JPN           24.290094     153.978661 
MCM400ATA          -77.838350     166.669329 
MDO100USA           30.680511    -104.014993 
MDVJ00RUS           56.021492      37.214503 
MEDI00ITA           44.519956      11.646814 
MELI00ESP           35.281219      -2.951642 
MERS00TUR           36.566389      34.255853 
MET300FIN           60.217456      24.394500 
METG00FIN           60.241967      24.384175 
METS00FIN           60.217469      24.395317 
MFKG00ZAF          -25.805014      25.539969 
MGUE00ARG          -35.777350     -69.397928 
MIKL00UKR           46.972789      31.972828 
MIZU00JPN           39.135169     141.132828 
MKEA00USA           19.801357    -155.456345 
MOBJ00RUS           55.114882      36.569713 
MOBK00RUS           55.114882      36.569713 
MOBN00RUS           55.114881      36.569519 
MOBS00AUS          -37.829405     144.975340 
MOIU00KEN            0.288320      35.290010 
MONP00USA           32.890000    -116.420000 
MORP00GBR           55.212789      -1.685497 
MQZG00NZL          -43.702736     172.654705 
MRC100USA           38.499100     282.629350 
MRL100NZL          -41.576194     173.740753 
MRL200NZL          -41.576194     173.740753 
MRO100AUS          -26.696639     116.637492 
MTKA00JPN           35.679514     139.561386 
MTV100URY          -34.913592     -56.176300 
MTV200URY          -34.913592     -56.176300 
NAIN00CAN           56.536964     -61.688717 
NANO00CAN           49.294800    -124.086500 
NAUR00NRU           -0.551840     166.925550 
NCKU00TWN           22.996658     120.222583 
NICO00CYP           35.140981      33.396433 
NIST00USA           39.995067    -105.262606 
NIUM00NIU          -19.076567    -169.927067 
NKLG00GAB            0.353908       9.672126 
NLIB00USA           41.771592     -91.574892 
NNOR00AUS          -31.048739     116.192714 
NOT100ITA           36.876108      14.989808 
NOVM00RUS           55.030500      82.909489 
NRC100CAN           45.454200     -75.623800 
NRIL00RUS           69.361833      88.359778 
NRL100USA           38.820753     -77.024403 
NRMD00NCL          -22.228331     166.484883 
NTUS00SGP            1.345800     103.679900 
NURK00RWA           -1.944597      30.089903 
NVSK00RUS           54.840600      83.235500 
NYA100NOR           78.929553      11.865294 
NYA200NOR           78.930333      11.858639 
NYAL00NOR           78.929581      11.865094 
OAK100GBR           51.117611      -0.905125 
OAK200GBR           51.117611      -0.905125 
OBE400DEU           48.084806      11.277856 
OHI200ATA          -63.321100     -57.901300 
OHI300ATA          -63.321095     -57.901385 
ONS100SWE           57.395331      11.924536 
ONSA00SWE           57.395297      11.925514 
OP7100FRA           48.835906       2.334975 
OPMT00FRA           48.835881       2.334883 
ORID00MKD           41.127306      20.794056 
OSN300KOR           37.082692     127.033608 
OSN400KOR           37.082692     127.033608 
OUS200NZL          -45.869475     170.510933 
OWMG00NZL          -44.024295    -176.368803 
PADO00ITA           45.411150      11.896056 
PALM00ATA          -64.775090     -64.051122 
PARC00CHL          -53.137000     -70.879900 
PARK00AUS          -32.998762     148.264613 
PBRI00IND           11.637780      92.712136 
PDEL00PRT           37.747744     -25.662767 
PEN200HUN           47.789725      19.281664 
PENC00HUN           47.789600      19.281522 
PERT00AUS          -31.801900     115.885200 
PETS00RUS           53.023300     158.650136 
PGEN00PHL            6.064913     125.131662 
PICL00CAN           51.479808     -90.161975 
PIE100USA           34.301506    -108.118927 
PIMO00PHL           14.635719     121.077731 
PIN100USA           34.022639     243.905111 
PNGM00PNG           -2.043222     147.366000 
POAL00BRA          -30.074042     -51.119764 
POHN00FSM            6.959944     158.210117 
POL200KGZ           42.679800      74.694300 
POLV00UKR           49.602614      34.542928 
POTS00DEU           52.379297      13.066092 
POVE00BRA           -8.709337     -63.896320 
PPPC00PHL            9.772933     118.740234 
PRDS00CAN           50.871300    -114.293500 
PRE300ZAF          -25.746494      28.224044 
PRE400ZAF          -25.746494      28.224044 
PTAG00PHL           14.535442     121.040765 
PTBB00DEU           52.296189      10.459744 
PTGG00PHL           14.535402     121.041265 
PTVL00VUT          -17.749433     168.315025 
QAQ100GRL           60.715200     -46.047800 
QIKI00CAN           67.559333     -64.033667 
QUI300ECU            0.215158     -78.493608 
QUI400ECU            0.215158     -78.493608 
QUIN00USA           39.974553    -120.944428 
RABT00MAR           33.998103      -6.854289 
RAEG00PRT           36.985700     -25.126389 
RAMO00ISR           30.597758      34.763139 
RBAY00ZAF          -28.795546      32.078385 
RCMN00KEN           -1.221000      36.893778 
RDSD00DOM           18.461397     -69.911300 
REDU00BEL           50.001500       5.144881 
RESO00CAN           74.690800     -94.893300 
REUN00REU          -21.208333      55.571667 
REYK00ISL           64.138783     -21.955483 
RGDG00ARG          -53.785839     -67.751528 
RIGA00LVA           56.948619      24.058772 
RIO200ARG          -53.785472     -67.751119 
RIOP00ECU           -1.650600     -78.651100 
ROAG00ESP           36.463350      -6.206275 
ROCK00USA           34.235675    -118.676431 
ROTH00ATA          -67.571402     -68.125746 
SALU00BRA           -2.593458     -44.212478 
SAMO00WSM          -13.849211    -171.738419 
SANT00CHL          -33.150288     -70.668554 
SASK00CAN           52.196256    -106.398353 
SAVO00BRA          -12.939247     -38.432254 
SBOK00ZAF          -29.669322      17.879208 
SCH200CAN           54.832100     -66.832600 
SCIP00USA           32.910000    -118.490000 
SCOR00GRL           70.485333     -21.950336 
SCRZ00BOL          -17.796792     -63.159678 
SCTB00ATA          -77.848986     166.758014 
SCUB00CUB           20.012067     -75.762314 
SEJN00KOR           36.522211     127.303192 
SEME00KAZ           50.432694      80.265908 
SEY200SYC           -4.673651      55.479454 
SEYG00SYC           -4.678732      55.530631 
SFDM00USA           34.459806    -118.754506 
SFER00ESP           36.464344      -6.205647 
SGOC00LKA            6.892075      79.874178 
SGPO00USA           36.604183     -97.484822 
SHAO00CHN           31.099642     121.200445 
SHE200CAN           46.220691     -64.552010 
SIN100SGP            1.342981     103.679438 
SMST00JPN           33.577855     135.936955 
SNI100USA           33.247875    -119.524364 
SOD300FIN           67.420786      26.389286 
SOFI00BGR           42.556100      23.394700 
SOLO00SLB           -9.434922     159.954344 
SPK100USA           34.059342    -118.646161 
SPT000SWE           57.714956      12.891344 
SPTU00BRA          -21.929117     -50.492369 
SSIA00SLV           13.697300     -89.116200 
STFU00USA           37.426907    -122.173291 
STHL00GBR          -15.942534      -5.667345 
STJ300CAN           47.595435     -52.678308 
STJO00CAN           47.595239     -52.677747 
STK200JPN           43.528644     141.844819 
STR100AUS          -35.315539     149.010883 
STR200AUS          -35.316167     149.010153 
SULP00UKR           49.835589      24.014489 
SUTH00ZAF          -32.380211      20.810462 
SUTM00ZAF          -32.381436      20.810911 
SUWN00KOR           37.275500     127.054200 
SVTL00RUS           60.532856      29.780872 
