# Sta         Lat(deg)    Long(deg)
ACCE        44.48       6.99 
ACER        40.79       15.94 
ACHO        7.41        279.83 
ACHT        45.51       298.97 
ACHU        47.12       3.68 
ACL2        -27.27      151.70 
ACME        40.10       280.56 
ACNS        41.70       353.65 
ACOM        46.55       13.51 
ACOR        43.36       351.60 
ACP1        9.37        280.05 
ACP6        9.24        280.59 
ACPM        -33.45      289.46 
ACQU        38.06       14.59 
ACRA        5.56        359.80 
ACSB        33.27       242.56 
ACSO        40.23       277.02 
ACSX        33.27       242.56 
ACTO        43.61       279.94 
ACU2        41.74       289.11 
ACU5        41.74       289.11 
ACU6        41.74       289.11 
ACYA        16.84       260.10 
ADA1        47.31       263.48 
ADAN        37.00       35.34 
ADAR        52.79       355.26 
ADAX        43.71       358.94 
ADD0        9.03        38.77 
ADD1        9.04        38.77 
ADDU        -0.69       73.15 
ADE0        16.30       298.91 
ADE1        -34.73      138.65 
ADE2        -34.73      138.65 
ADEE        57.13       357.84 
ADEL        -34.93      138.60 
ADH1        24.38       54.52 
ADIS        9.04        38.77 
ADIY        37.75       38.23 
ADJU        46.10       27.19 
ADKS        29.79       264.41 
ADLK        60.72       221.64 
ADLL        42.20       239.99 
ADMN        -35.99      148.78 
ADN1        39.30       23.13 
ADOB        33.69       248.08 
ADRI        41.92       275.98 
ADSJ        39.40       356.78 
ADVT        45.34       295.21 
AEDA        -20.55      289.82 
AEGY        45.19       28.82 
AERO        32.81       242.88 
AFAL        46.53       12.17 
AFHT        34.35       62.22 
AFKB        34.52       69.18 
AFKL        34.52       69.18 
AFYN        38.74       30.56 
AFYT        40.10       23.44 
AGCA        8.32        286.40 
AGDE        43.30       3.47 
AGDS        43.31       3.47 
AGEN        44.17       0.61 
AGGO        -34.87      301.86 
AGID        39.72       43.03 
AGIG        44.09       28.64 
AGIL        45.08       28.89 
AGIO        35.19       25.72 
AGMC        35.01       274.81 
AGMT        34.59       243.57 
AGNA        39.48       21.85 
AGNE        45.47       7.14 
AGPR        18.47       292.89 
AGPS        33.34       248.31 
AGR2        40.35       15.83 
AGRD        41.85       358.07 
AGRG        37.32       13.60 
AGRI        38.62       21.41 
AGU1        8.32        286.40 
AGUA        34.25       247.94 
AGUE        40.58       351.55 
AGUI        27.90       344.55 
AHID        42.77       248.94 
AHTI        -38.41      178.05 
AHUP        19.38       204.73 
AHVA        31.34       48.68 
AHVZ        31.34       48.74 
AIAH        33.85       242.14 
AICI        43.33       358.99 
AIES        13.45       270.95 
AIGL        44.12       3.58 
AILT        47.88       3.36 
AINP        19.37       204.54 
AIR2        51.29       246.00 
AIRA        31.82       130.60 
AIRD        51.29       246.01 
AIRP        27.70       85.36 
AIRS        16.74       297.79 
AIS5        55.07       228.40 
AIS6        55.07       228.40 
AISD        33.02       242.91 
AISH        61.19       223.00 
AITB        14.08       100.61 
AIZK        56.60       25.25 
AJAC        41.93       8.76 
AJAL        41.22       357.73 
AKAG        61.17       210.13 
AKBG        61.56       210.22 
AKDG        39.66       35.87 
AKED        64.85       212.00 
AKER        61.33       210.43 
AKFN        64.85       212.31 
AKFX        64.96       212.38 
AKGG        54.20       194.01 
AKHR        38.37       31.43 
AKKO        52.02       70.94 
AKLV        54.16       194.04 
AKMO        54.09       193.99 
AKNP        64.76       212.61 
AKPR        61.60       210.89 
AKRB        54.13       193.93 
AKS1        37.05       31.79 
AKSE        60.13       210.56 
AKSI        57.05       224.66 
AKSR        38.37       34.00 
AKTO        -40.54      176.46 
AKUR        65.69       341.88 
AKYR        34.98       24.91 
