# Sta         Lat(deg)    Long(deg)
GOR6        40.38       9.69 
GORI        39.91       8.58 
GORL        53.05       11.35 
GORN        48.41       359.19 
GORO        40.38       9.69 
GORS        52.58       1.73 
GOSF        -33.42      151.28 
GOSH        40.64       245.82 
GOSI        16.21       298.52 
GOUE        48.61       358.10 
GOUG        -40.35      350.12 
GOUR        -14.51      310.86 
GOUT        39.91       248.10 
GOVE        -12.18      136.78 
GOZZ        45.75       8.43 
GPH1        -32.99      137.17 
GPOR        44.68       28.99 
GPRI        55.17       241.21 
GPRT        47.97       270.31 
GPRY        32.75       262.99 
GR8R        36.40       239.58 
GR8V        36.40       239.58 
GRA0        -34.54      118.30 
GRA1        37.19       356.40 
GRA2        37.19       356.40 
GRA3        10.59       298.87 
GRA6        45.13       7.02 
GRA7        45.42       287.24 
GRA8        42.98       13.87 
GRAA        47.07       15.49 
GRAB        47.07       15.49 
GRAC        43.75       6.92 
GRAF        28.45       343.73 
GRAG        43.68       1.58 
GRAM        40.87       20.18 
GRAN        40.09       240.95 
GRAP        53.27       260.67 
GRAR        42.99       274.33 
GRAS        43.75       6.92 
GRAV        41.35       239.39 
GRAY        47.04       15.48 
GRAZ        47.07       15.49 
GRCF        -41.24      174.92 
GRCH        47.76       357.16 
GRCK        48.14       242.34 
GRDC        44.87       18.48 
GRDO        45.68       13.38 
GRDV        38.91       240.31 
GRE0        12.22       298.36 
GRE1        12.22       298.36 
GRES        33.28       244.48 
GREV        40.08       21.44 
GREY        -29.07      30.58 
GRFL        47.06       292.25 
GRFT        48.41       262.58 
GRHI        27.95       82.49 
GRHM        -33.32      26.51 
GRI1        39.74       15.85 
GRIB        39.04       351.36 
GRIC        76.42       277.10 
GRIK        5.44        101.13 
GRIM        -40.68      144.69 
GRIS        29.27       270.04 
GRJF        45.30       1.51 
GRLS        -31.61      291.68 
GRM1        56.36       242.33 
GRM4        -21.76      147.95 
GRMD        46.80       236.98 
GRMS        46.92       13.37 
GRMT        46.92       13.37 
GRN1        -33.86      116.06 
GRNB        53.85       230.04 
GRNG        -39.98      175.46 
GRNR        63.84       211.02 
GRNT        -32.25      24.53 
GRNX        63.84       211.02 
GRO1        41.07       15.10 
GRO3        -13.86      136.42 
GROA        42.78       11.11 
GROC        -39.03      292.42 
GROG        43.43       9.89 
GROI        47.65       356.49 
GROK        78.44       337.10 
GRON        47.11       2.71 
GROS        42.77       11.11 
GROT        41.07       15.06 
GRP4        48.19       237.87 
GRRG        42.94       248.58 
GRS1        -33.23      121.72 
GRS2        40.63       16.28 
GRSL        43.23       353.12 
GRSN        46.30       266.17 
GRSP        -33.18      121.65 
GRST        -21.36      149.30 
GRSV        45.36       239.21 
GRTN        38.86       276.12 
GRUN        45.94       13.63 
GRVA        64.46       340.62 
GRYB        49.63       20.95 
GRYG        48.30       264.38 
GRZA        9.92        274.36 
GRZL        44.80       249.25 
GRZM        44.26       11.15 
GSBN        -37.48      144.57 
GSBY        53.30       299.46 
GSC1        39.55       252.67 
GSEC        30.20       264.47 
GSES        37.80       248.60 
GSFD        -33.42      151.33 
GSPS        27.49       277.65 
GSR1        46.05       14.54 
GSSP        38.95       279.17 
GST1        -33.15      289.33 
GSTG        41.16       9.18 
GTA1        -20.57      289.82 
GTAC        34.71       273.35 
GTEM        40.90       9.10 
GTER        39.70       9.58 
GTEU        38.97       8.77 
GTIR        20.69       258.65 
GTK0        21.43       288.86 
GTLE        21.12       258.33 
GTPS        42.43       236.70 
GTRG        43.24       246.76 
GUAD        40.54       352.73 
GUAF        -43.57      285.17 
GUAM        13.59       144.87 
GUAN        42.02       240.52 
GUAO        43.47       87.18 
GUAR        41.79       13.31 
GUAS        44.92       10.66 
GUAT        14.59       269.48 
GUAV        2.57        287.36 
GUAX        28.88       241.71 
GUAY        -31.87      300.97 
GUB2        43.35       12.58 
GUDI        42.06       352.88 
GUEL        43.55       279.75 
GUES        47.07       16.32 
GUEU        46.60       4.06 
GUIE        43.35       12.57 
GUIJ        40.55       354.32 
GUIL        44.66       6.66 
GUIP        48.44       355.59 
GULB        57.17       26.76 
GULM        29.00       349.95 
GUMA        43.06       13.34 
GUMB        27.91       85.88 
GUMU        40.44       39.52 
GUNL        37.29       246.20 
GUNN        -30.98      150.26 
GUNR        -43.39      170.39 
GURA        46.27       22.34 
GURL        -29.73      149.80 
GURU        38.72       37.31 
GUS5        58.42       224.30 
GUS6        58.42       224.30 
GUSK        64.89       336.08 
GUST        41.46       279.28 
GUUG        13.43       144.80 
GUYS        45.39       298.50 
GV01        -0.78       268.89 
GV02        -0.81       268.87 
GV03        -0.80       268.87 
GV04        -0.81       268.86 
GV05        -0.80       268.88 
GV06        -0.83       268.87 
GV07        -0.84       268.85 
GV08        -0.84       268.87 
GV09        -0.84       268.85 
GV10        -0.85       268.85 
GV11        -0.95       269.04 
GVA1        -18.86      318.04 
GVDS        34.83       24.08 
GVG1        39.05       241.90 
GVG2        38.81       241.94 
GVG3        38.87       241.77 
GVG4        38.88       241.60 
GVG5        38.98       241.74 
GVG6        38.95       241.83 
GVG7        38.82       242.07 
GVIL        39.13       9.52 
GVLT        34.83       277.63 
GVMS        30.31       269.10 
GVNR        -21.97      148.01 
GVRE        2.57        287.36 
GVRS        34.05       241.89 
GVY2        45.00       266.65 
GWAB        -30.61      148.97 
GWI4        -28.55      150.30 
GWN5        45.78       238.67 
GWN6        45.78       238.67 
GWWL        52.74       15.21 
GYB2        17.37       96.03 
GYBU        17.37       96.03 
GYM2        -26.19      152.66 
GYM3        -26.19      152.67 
GYMP        -26.19      152.66 
GYUR        35.20       32.99 
GZ01        -84.15      196.33 
GZ19        -84.34      196.39 
GZ1L        55.91       37.87 
H004        34.63       138.19 
H007        34.66       138.17 
H010        34.67       138.14 
H016        34.70       138.09 
H023        34.75       138.04 
H025        34.79       137.97 
H101        34.69       137.57 
H102        34.90       137.60 
H103        34.74       137.41 
HAAG        -77.04      281.71 
HAAR        62.41       214.84 
HAAS        -44.07      168.79 
HABA        50.19       12.55 
HAC5        34.28       272.14 
HAC6        34.28       272.14 
HADN        44.67       249.53 
HAG5        39.55       282.29 
HAG6        39.55       282.29 
HAGA        37.29       15.16 
HAGE        39.63       282.26 
HAHD        47.29       238.21 
HAKA        22.63       93.60 
HAKK        37.57       43.74 
HAL1        20.71       203.74 
HAL2        51.52       358.24 
HAL3        44.66       296.33 
HAL4        19.38       204.93 
HALC        68.77       278.74 
HALF        44.87       242.90 
HALI        45.07       281.47 
HALK        38.47       23.60 
HALP        37.45       34.18 
HALR        19.38       204.93 
HALU        45.76       6.54 
HALY        29.14       36.10 
HAM3        43.25       280.13 
HAMC        40.05       273.98 
HAMD        34.87       48.53 
HAMG        43.96       247.83 
HAML        46.20       245.83 
HAMM        30.51       269.53 
HAMO        -37.82      142.07 
HAMP        42.32       287.36 
HAMT        -37.81      175.11 
HAN2        51.64       248.06 
HANA        -38.69      177.57 
HAND        38.97       241.65 
HANI        58.62       23.63 
HANM        -42.55      172.79 
HANN        38.10       243.10 
HANO        44.14       278.98 
HAPY        36.06       242.80 
HAR1        44.69       27.96 
HAR7        35.01       242.70 
HARB        -25.89      27.71 
HARC        39.68       29.15 
HARD        50.95       359.47 
HARK        -25.89      27.71 
HARM        41.88       25.85 
HARQ        33.35       246.73 
HART        -25.89      27.71 
HARV        34.47       239.32 
HAS6        56.09       13.72 
HAST        -39.62      176.73 
HASZ        42.61       274.73 
HAT1        36.20       36.16 
HATA        36.21       36.15 
HATC        48.18       265.49 
HATI        10.29       274.29 
HATT        -34.76      142.34 
HAUC        64.71       341.66 
HAUD        49.14       5.41 
HAUG        45.60       268.22 
HAV1        36.96       15.12 
HAV2        12.04       92.98 
HAVL        32.50       265.43 
HAVR        49.52       0.07 
HAWK        45.61       285.39 
HAWL        46.88       263.70 
HAY1        -34.51      144.85 
HAYL        64.28       231.13 
HAYW        35.53       277.08 
HAZE        39.59       240.95 
HBAY        -25.28      152.83 
HBCH        43.85       277.36 
HBCO        33.78       241.71 
HBG1        -34.19      150.99 
HBG2        -34.14      150.94 
HBRK        38.30       262.71 
HBSM        40.87       285.19 
HCC1        29.79       264.44 
HCC2        29.79       264.44 
HCES        36.33       270.83 
HCEX        36.33       270.83 
HCHD        38.09       271.46 
HCMN        34.75       243.57 
HCMP        -19.01      146.37 
HCRL        37.28       15.03 
HCRO        40.82       238.53 
HDAO        36.23       120.26 
HDBY        52.84       257.62 
HDF5        43.27       286.46 
HDF6        43.27       286.46 
HDIL        40.56       270.71 
HDLG        -21.25      55.79 
HDPW        59.64       208.47 
HEAU        49.58       358.22 
HEAV        40.78       239.27 
HEBB        44.32       295.44 
HEBE        40.51       248.63 
HEI1        65.38       345.46 
HEID        -26.51      28.37 
HEL2        66.40       321.78 
HEL3        54.19       7.88 
HELB        36.68       240.98 
HELG        54.17       7.89 
HELL        36.72       243.02 
HELM        46.72       12.38 
HELS        58.12       356.35 
HEMS        52.69       1.69 
HEN1        46.33       264.54 
HEN2        -32.15      115.77 
HENA        40.49       356.62 
HEND        40.80       30.74 
HENN        39.52       239.47 
HER2        29.09       249.03 
HER3        47.44       357.68 
HERA        35.32       25.14 
HERB        48.62       4.11 
HERE        51.19       4.84 
HERH        12.61       273.17 
HERN        -30.33      152.49 
HERO        50.87       0.34 
HERP        50.87       0.34 
HERR        39.18       354.95 
HERS        50.87       0.34 
HERT        50.87       0.33 
HETA        27.41       85.05 
HETT        68.41       23.67 
HFL2        47.31       11.39 
HFVV        34.51       242.67 
HFXA        44.89       296.49 
HGCS        19.78       261.42 
HGHN        -20.69      164.94 
HGIS        34.73       273.41 
HGMA        41.26       264.15 
HGP1        47.02       237.08 
HGPA        20.09       261.25 
HGRA        47.49       10.07 
HGTO        19.91       260.68 
HIBB        47.42       267.08 
HICR        43.77       280.85 
HIDD        38.84       241.47 
HIGH        36.28       243.85 
HIKB        -37.56      178.30 
HIKO        37.70       244.82 
HIL1        -31.83      115.74 
HILB        36.05       280.90 
HILL        -33.48      145.53 
HILO        19.72       204.95 
HILR        19.72       204.95 
HIMT        35.27       239.54 
HIN2        56.25       241.39 
HINI        39.37       41.70 
HIPT        35.97       279.99 
HIRS        57.59       9.97 
HIST        44.55       28.77 
HIVI        34.76       242.20 
HIWA        21.42       202.00 
HIWC        63.46       211.19 
HIX1        40.58       255.00 
HJOR        63.42       318.85 
HKBL        47.38       13.77 
HKCL        22.30       113.91 
HKFN        22.49       114.14 
HKKS        22.37       114.31 
HKKT        22.44       114.07 
HKKY        22.28       114.08 
HKLM        22.22       114.12 
HKLO        35.68       264.14 
HKLT        22.42       114.00 
HKMW        22.26       114.00 
HKNP        22.25       113.89 
HKOH        22.25       114.23 
HKPC        22.28       114.04 
HKQB        22.29       114.21 
HKQT        22.29       114.21 
HKSC        22.32       114.14 
HKSL        22.37       113.93 
HKSS        22.43       114.27 
HKST        22.40       114.18 
HKTK        22.55       114.22 
HKWS        22.43       114.34 
HLAG        45.39       285.30 
HLBK        -35.72      147.32 
HLFJ        64.28       339.86 
HLFX        44.68       296.39 
HLID        43.56       245.59 
HLN2        -35.01      288.07 
HLNA        19.29       204.69 
HLNE        -35.00      288.26 
HLNI        37.35       14.87 
HLOB        -21.28      165.63 
HLOU        -21.28      165.63 
HLPN        -36.75      286.81 
HLSY        44.38       236.89 
HLTV        46.52       293.52 
HMBS        -20.28      290.11 
HMDC        36.96       14.78 
HMLK        43.41       275.76 
HMLT        -37.75      142.02 
HMS1        30.33       264.50 
HMTG        33.71       243.00 
HMTI        -20.35      148.96 
HMWD        35.88       242.58 
HNA1        33.65       242.28 
HNCK        39.78       274.22 
HNIS        -10.59      142.30 
HNKE        59.97       220.45 
HNKO        0.87        97.34 
HNLC        21.30       202.14 
HNPS        33.71       244.36 
HNPT        38.59       283.87 
HNSB        -33.70      151.10 
HNT1        53.39       242.38 
HNTN        53.32       242.28 
HNTS        38.50       243.16 
HNUS        -34.42      19.22 
HOB2        -42.80      147.44 
HOCM        35.25       356.06 
HOE2        54.76       8.29 
HOEG        50.78       4.90 
HOFN        64.27       344.80 
HOG2        -77.53      166.93 
HOGN        -21.36      148.97 
HOGS        35.87       239.52 
HOID        1.45        31.34 
HOIF        22.20       113.55 
HOKI        -42.71      170.98 
HOL1        54.37       10.16 
HOL2        54.37       10.16 
HOL3        34.46       242.15 
HOLA        43.97       3.22 
HOLB        50.64       231.87 
HOLC        34.46       242.15 
HOLD        -40.90      175.52 
HOLE        19.31       204.87 
HOLL        39.62       273.63 
HOLM        70.74       242.24 
HOLP        33.92       241.83 
HOLY        53.32       355.36 
HOM1        25.50       279.45 
HOME        35.05       245.10 
HONS        70.98       25.96 
HONY        40.08       240.06 
HOOB        53.48       358.62 
HOOT        33.11       243.21 
HOOZ        -77.53      166.93 
HOPB        39.00       236.93 
HORE        45.15       23.99 
HORN        -43.78      170.11 
HORS        40.59       239.50 
HORT        51.55       355.80 
HOT1        30.27       262.21 
HOTH        -36.98      147.14 
HOTK        37.66       241.18 
HOTS        41.15       242.53 
HOU1        -43.03      147.05 
HOUA        20.26       100.44 
HOUE        15.98       298.30 
HOUM        29.59       269.28 
HOUT        51.02       5.37 
HOVD        47.96       91.62 
HOW1        39.25       283.02 
HOWE        -87.42      210.57 
HOWN        -77.53      273.23 
HOY1        48.55       278.94 
HOYL        -34.00      138.49 
HOYN        12.60       273.17 
HPAC        36.71       15.04 
HPCH        -23.43      293.61 
HPEK        29.75       264.28 
HPIG        43.71       246.90 
HRA1        66.11       339.88 
HRAC        -25.89      27.69 
HRAG        -25.89      27.69 
HRAK        35.31       25.19 
HRAO        -25.89      27.69 
HRBG        40.32       283.15 
HRDG        81.88       315.48 
HRIA        29.15       346.51 
HRIE        47.75       12.25 
HRM1        51.45       358.72 
HRM2        51.45       358.72 
HRMN        33.31       35.79 
HRN5        40.88       281.82 
HRN6        40.88       281.82 
HRPR        43.87       242.39 
HRR2        37.18       39.01 
HRRN        37.17       39.00 
HRSB        44.75       248.80 
HRSM        -36.72      142.17 
HRSN        49.93       4.07 
HRST        49.67       276.49 
HRTM        42.25       240.44 
HRUF        42.28       276.66 
HRY1        36.74       280.11 
HSBG        40.23       283.15 
HSCI        36.79       14.71 
HSCO        -28.46      288.77 
HSIB        37.59       237.63 
HSIS        38.54       238.59 
HSMN        29.80       264.53 
HSON        40.04       42.17 
HSRE        49.61       4.14 
HSRS        37.09       15.22 
HST2        50.24       296.41 
HSYA        36.09       120.07 
HTCC        39.63       282.33 
HTCH        47.19       239.03 
HTON        -74.08      298.27 
HTV5        36.36       273.91 
HTV6        36.36       273.91 
HUA1        15.75       263.87 
HUA2        10.02       274.65 
HUAL        35.74       245.98 
HUAM        -12.77      15.73 
HUAT        15.77       263.89 
HUE1        37.13       353.17 
HUED        46.87       23.03 
HUEG        47.83       7.60 
HUEH        15.32       268.50 
HUEL        37.20       353.08 
HUGH        -20.95      144.20 
HUGO        -64.96      294.33 
HUGS        32.10       36.19 
HUKP        12.92       7.59 
HULE        4.19        73.53 
HULK        28.29       278.56 
HULL        53.77       359.63 
HULV        37.28       353.09 
HUN1        40.88       274.53 
HUN2        51.40       358.49 
HUN3        46.41       296.65 
HUN4        45.34       280.80 
HUNG        39.69       240.25 
HUNT        35.88       239.60 
HUOV        37.40       358.06 
HUPR        18.15       294.16 
HURC        63.00       210.39 
HURN        50.78       358.16 
HURR        37.06       246.43 
HUSB        44.12       238.15 
HUST        48.18       23.29 
HUT1        48.65       15.60 
HUTB        10.61       92.53 
HVEL        64.87       340.44 
HVER        64.02       338.82 
HVHS        29.89       269.59 
HVLK        37.65       260.89 
HVLL        45.32       280.77 
HVRP        50.30       296.17 
HVWY        44.61       249.46 
HVYB        -25.30      152.80 
HVYS        34.44       240.81 
HVZN        37.18       14.72 
HW50        39.43       243.24 
HW56        37.67       246.49 
HW62        34.07       245.16 
HW89        39.56       239.66 
HW95        37.19       243.05 
HWFG        43.93       246.90 
HWKB        53.60       230.85 
HWKV        42.12       240.85 
HWUT        41.61       248.43 
HYDE        17.42       78.55 
HYDN        -32.45      118.89 
HYMN        39.43       32.50 
I001        36.30       139.54 
I002        36.26       140.17 
I003        36.20       139.81 
I004        36.18       140.54 
I005        36.12       139.35 
I006        36.10       140.34 
I007        36.09       139.64 
I008        36.01       139.80 
I009        35.96       140.66 
I010        35.97       140.40 
I011        35.93       139.46 
I012        35.94       139.99 
I013        35.94       139.65 
I014        35.87       140.15 
I015        35.80       140.41 
I016        35.78       139.81 
I017        35.76       139.64 
I018        35.79       140.02 
I019        35.71       139.49 
I020        35.72       140.32 
I021        35.78       140.65 
I022        35.73       140.84 
I023        35.68       139.90 
I024        35.64       140.45 
I025        35.54       140.19 
I026        35.56       139.67 
I027        35.53       140.32 
I028        35.52       139.47 
I029        35.48       139.32 
I030        35.45       140.05 
I031        35.42       139.05 
I032        35.44       139.65 
I033        35.42       140.34 
I034        35.33       139.47 
I035        35.30       139.26 
I036        35.31       139.83 
I037        35.33       140.15 
I038        35.32       138.88 
I039        35.14       139.84 
I041        35.17       140.27 
I042        35.15       139.11 
I043        35.11       138.90 
I044        35.11       140.08 
I045        35.25       139.95 
I046        35.01       139.00 
I047        34.95       139.86 
I048        34.94       139.13 
I049        34.92       138.92 
I050        34.84       137.67 
I051        34.78       139.38 
I052        34.79       138.02 
I053        34.75       138.99 
I055        34.69       139.43 
I057        34.37       139.26 
I058        34.20       139.13 
I059        34.12       139.50 
I060        34.06       139.55 
I061        34.92       139.01 
I062        34.88       139.12 
I063        35.72       139.27 
I064        35.62       138.98 
I065        35.61       139.16 
I066        35.43       139.20 
I067        35.27       139.66 
I068        35.25       139.05 
I069        35.44       138.45 
I070        35.50       138.81 
I071        35.36       138.56 
I072        35.31       138.77 
I073        35.29       138.45 
I074        35.20       138.25 
I075        35.20       138.62 
I076        35.17       138.72 
I077        35.07       138.52 
I078        35.10       138.37 
I079        35.10       138.13 
I081        34.99       138.38 
I084        35.08       137.70 
I085        34.78       138.79 
I086        34.61       138.84 
I088        34.94       138.07 
I089        34.84       137.93 
I090        34.94       137.82 
I091        34.76       138.14 
I092        34.74       138.23 
I093        34.72       138.05 
I094        34.64       138.13 
I095        34.67       137.94 
I096        34.76       137.91 
I097        34.79       137.79 
I098        34.67       137.82 
I099        34.94       137.58 
I101        34.61       138.22 
I102        34.86       137.43 
I103        34.81       137.55 
I104        34.72       137.51 
I105        35.04       139.17 
I113        33.12       139.80 
I40A        34.73       244.09 
IAAA        41.01       267.19 
IAAD        41.50       265.36 
IAAG        43.08       265.73 
IAAI        -20.57      166.57 
IAAK        42.82       263.44 
IAAL        42.75       267.21 
IAAM        42.01       266.44 
IAAN        42.10       268.74 
IAAO        41.46       264.66 
IAAR        41.50       265.35 
IAAS        43.31       264.22 
IAAT        41.41       265.01 
IAAU        41.73       265.06 
IAAV        41.49       264.66 
IAAY        40.71       265.77 
IABE        40.67       265.28 
IABF        40.74       267.59 
IABL        40.74       267.57 
IABN        42.05       266.14 
IAC1        -18.48      289.67 
IAC2        42.09       265.12 
IAC3        38.53       14.36 
IACA        42.08       265.09 
IACB        41.22       264.15 
IACD        40.73       264.97 
IACE        40.70       267.13 
IACH        40.98       266.69 
IACI        41.71       268.39 
IACK        42.77       264.46 
IACL        42.73       266.25 
IACM        43.00       268.34 
IACN        40.74       264.98 
IACO        41.01       265.26 
IACR        41.05       265.65 
IACS        41.05       265.65 
IACT        40.70       267.13 
IACV        42.48       264.23 
IACX        41.70       266.75 
IAD1        41.66       266.40 
IAD2        43.29       263.82 
IADA        41.61       269.37 
IADC        43.28       268.16 
IADE        43.27       268.17 
IADI        42.02       264.63 
IADM        41.66       266.40 
IADN        42.00       264.62 
IADO        40.65       268.43 
IADS        41.55       265.99 
IADU        42.46       269.33 
IADY        42.50       268.89 
IAEL        42.88       268.64 
IAEM        43.11       265.31 
IAES        43.40       265.19 
IAFA        40.98       268.04 
IAFD        42.46       265.81 
IAFL        41.01       268.00 
IAGA        43.11       266.40 
IAGC        42.37       267.22 
IAGR        41.71       267.27 
IAGX        29.03       246.83 
IAGY        42.36       267.22 
IAHA        42.27       265.83 
IAHM        40.60       264.33 
IAHO        40.78       268.40 
IAHP        42.78       266.80 
IAHT        43.28       266.63 
IAHU        42.31       266.69 
IAIA        41.36       266.44 
IAIG        42.35       264.50 
IAIN        42.44       268.12 
IAJE        42.02       265.62 
IAKA        41.49       268.31 
IAKN        41.30       266.90 
IAKW        42.93       266.21 
IAKX        41.30       266.89 
IAKY        41.99       267.80 
IALA        42.80       266.64 
IALE        40.74       266.26 
IALM        42.80       263.85 
IALN        40.73       266.24 
IALO        41.86       269.05 
IALS        42.77       263.79 
IALW        42.48       263.76 
IAM1        42.04       269.33 
IAM2        41.92       268.54 
IAM3        42.52       265.46 
IAMA        40.71       265.75 
IAMC        43.15       266.70 
IAMD        41.37       266.26 
IAME        41.43       268.91 
IAMK        42.03       269.33 
IAML        41.69       267.45 
IAMN        42.03       268.45 
IAMQ        42.07       269.35 
IAMR        42.48       268.53 
IAMS        41.26       265.23 
IAMT        42.01       267.07 
IAMU        41.43       268.91 
IAMV        41.57       264.14 
IAMW        42.01       267.09 
IAMY        41.55       264.09 
IAN1        43.06       267.70 
IANA        43.50       268.71 
IANE        43.07       267.65 
IANH        43.03       267.69 
IANI        41.48       268.69 
IANT        41.68       266.92 
IANV        42.01       266.52 
IANW        41.96       268.03 
IAOA        42.03       263.89 
IAOE        43.28       267.16 
IAOG        43.29       267.21 
IAOK        41.29       267.32 
IAOL        41.28       267.37 
IAON        42.03       263.90 
IAOS        41.03       266.21 
IAPA        42.98       264.33 
IAPJ        41.04       264.18 
IAPS        42.74       265.32 
IAPY        41.83       265.97 
IARK        41.03       264.77 
IARO        41.02       264.77 
IARR        43.43       263.85 
IARV        43.20       263.69 
IARY        42.37       268.11 
IAS1        47.16       27.59 
IAS3        47.09       27.64 
IASA        42.08       269.80 
IASC        42.42       264.98 
IASD        40.75       264.36 
IASG        41.35       267.79 
IASI        41.32       267.79 
IASL        43.42       264.86 
IASM        42.65       264.78 
IASN        42.24       263.77 
IASP        43.13       264.84 
IASR        43.11       264.84 
IAST        42.66       264.80 
IASU        42.85       267.88 
IASW        43.38       265.70 
IASX        42.55       263.65 
IATA        41.97       267.45 
IATI        41.64       268.89 
IATK        43.24       265.97 
IAUB        41.63       266.22 
IAVH        33.98       353.13 
IAW1        43.28       268.52 
IAW2        41.65       269.27 
IAW3        42.51       267.67 
IAWA        42.47       267.61 
IAWB        40.83       268.79 
IAWE        42.96       265.56 
IAWI        41.12       268.56 
IAWK        43.25       268.51 
IAWL        42.57       266.16 
IAWM        41.70       267.99 
IAWN        41.31       268.32 
IAWO        41.18       268.81 
IAWS        42.48       266.45 
IAWT        41.34       266.00 
IAWU        42.94       268.18 
IAWY        42.71       267.52 
IBAG        4.43        284.79 
IBEC        0.35        281.88 
IBEX        35.85       243.63 
IBIZ        38.91       1.45 
ICAM        19.85       269.47 
ICDV        23.74       260.84 
ICEP        19.03       261.81 
ICHI        28.65       253.93 
ICHS        16.77       266.81 
ICIG        44.33       247.06 
ICKY        38.88       242.26 
ICMX        19.41       260.83 
ICOL        39.90       0.68 
ICOR        37.47       242.70 
ICPS        24.40       92.04 
ICT1        37.59       262.69 
ICT2        37.75       262.63 
ICT3        37.75       262.78 
ICT4        37.62       262.37 
ICT5        37.79       262.37 
ID01        39.60       272.29 
ID02        40.45       270.98 
ID03        40.13       272.25 
IDAB        42.94       247.16 
IDAS        44.08       248.55 
IDB1        43.20       247.52 
IDB2        43.60       243.73 
IDBB        43.48       247.96 
IDBF        43.19       247.65 
IDBO        43.61       243.68 
IDBY        43.82       248.22 
IDCA        47.74       243.20 
IDCH        44.52       245.78 
IDDR        43.75       248.89 
IDDU        44.17       247.76 
IDDY        42.42       247.87 
IDFC        47.53       243.07 
IDFL        44.01       243.08 
IDGO        24.07       255.39 
IDHA        43.52       245.69 
IDHD        43.91       243.80 
IDIF        43.52       247.95 
IDIR        43.41       248.70 
IDJ2        42.73       245.48 
IDKM        43.69       245.63 
IDLD        44.67       246.66 
IDLW        46.41       242.97 
IDM1        43.61       243.61 
IDMA        43.91       246.40 
IDMH        43.14       244.33 
IDMI        43.71       243.36 
IDML        42.31       246.63 
IDMN        43.71       243.30 
IDNA        43.58       243.43 
IDNL        43.55       246.99 
IDNP        45.94       243.88 
IDNR        43.21       243.25 
IDOG        33.80       243.78 
IDP1        42.87       247.55 
IDPO        42.87       247.57 
IDPR        42.21       248.06 
IDPY        48.31       243.45 
IDQG        33.77       243.76 
IDRU        42.66       246.25 
IDSN        45.19       246.10 
IDSS        42.69       248.42 
IDT1        42.58       245.53 
IDTD        43.65       243.72 
IDTF        42.54       245.55 
IEMO        43.59       12.05 
IENG        45.02       7.64 
IEPE        50.85       2.86 
IERA        35.05       25.80 
IESG        52.94       358.81 
IFIL        38.56       14.58 
IFL2        48.58       266.62 
IFLS        48.58       266.62 
IFR1        33.51       354.87 
IFRN        33.54       354.89 
IFSC        -27.59      311.46 
IGCA        -8.81       13.23 
IGCU        19.33       260.82 
IGE1        38.78       350.89 
IGEL        43.31       357.96 
IGEO        47.03       28.84 
IGGY        -83.31      156.25 
IGIR        39.93       44.02 
IGL1        17.40       96.32 
IGLE        39.31       8.53 
IGLO        69.38       278.19 
IGM1        -34.57      301.56 
IGM2        43.80       11.21 
IGMI        43.80       11.21 
IGN1        8.98        280.46 
IGNC        49.29       268.54 
IGNE        40.45       356.29 
IGOU        39.51       20.26 
IGP0        38.73       350.84 
IGPR        17.97       293.89 
IGUA        18.39       260.50 
IHER        29.07       249.04 
IHGO        20.12       261.26 
IHOE        -32.86      143.49 
IID2        32.71       244.97 
IIEG        20.68       256.55 
IIN2        13.03       77.51 
IISC        13.02       77.57 
IJMU        52.46       4.56 
ILAN        37.46       270.76 
ILBO        47.12       0.42 
ILBU        40.60       271.96 
ILC2        37.74       270.78 
ILCA        40.40       268.88 
ILCB        37.71       270.78 
ILCE        37.09       270.84 
ILCN        38.50       270.86 
ILCR        37.04       270.81 
ILCV        42.22       271.08 
ILDG        47.64       356.55 
ILDK        41.95       271.28 
ILDN        41.83       270.51 
ILDX        46.01       358.82 
ILE1        46.14       358.84 
ILEG        42.02       272.03 
ILEH        39.10       271.45 
ILEN        42.07       271.70 
ILEV        42.08       272.28 
ILFU        41.85       269.85 
ILGA        40.94       269.62 
ILGM        40.79       272.01 
ILGY        41.81       272.22 
ILHA        -20.43      308.66 
ILIB        45.57       14.25 
ILJT        41.54       271.94 
ILKK        41.13       272.14 
ILKN        38.77       271.14 
ILLK        42.10       270.18 
ILLV        40.86       271.38 
ILLZ        42.20       271.93 
ILMB        40.46       269.33 
ILMC        41.77       272.14 
ILME        41.55       270.88 
ILMN        40.60       270.51 
ILMO        41.48       269.58 
ILMS        38.25       270.24 
ILMT        39.48       271.61 
ILNA        41.78       271.82 
ILOC        -34.95      287.82 
ILOD        38.07       271.25 
ILOZ        37.53       271.30 
ILPK        40.00       270.71 
ILPN        41.39       270.55 
ILPO        40.89       271.39 
ILPV        39.16       270.01 
ILPX        40.46       271.94 
ILRC        42.27       270.90 
ILRD        41.51       271.86 
ILRF        42.24       270.89 
ILRI        41.44       269.37 
ILRL        41.96       270.94 
ILSA        39.78       270.39 
ILSD        39.75       270.35 
ILSG        -26.47      254.64 
ILSH        41.60       272.38 
ILSP        39.80       270.37 
ILTM        38.14       270.79 
ILTP        41.54       272.15 
ILTS        39.84       271.63 
ILUC        40.10       271.78 
ILUL        69.24       308.94 
ILWA        42.28       271.84 
ILWK        42.38       272.09 
ILWL        42.12       272.09 
IMAM        -33.63      150.83 
IMBT        -28.23      311.34 
IMCH        -38.41      286.11 
IMEJ        40.25       116.22 
IMIE        31.86       243.38 
